Time in tutorial: 121.6173
Highway ride time: 4.083406
Pizza Prepare Time: 1.200005
Pizza Prepare Time: 0.6832886
Pizza Prepare Time: 1.916744
Pizza Prepare Time: 0.8834227
Pizza Prepare Time: 7.000163
Highway ride time: 3.283465
Highway ride time: 1.950014
Delivery Time: 13.0837
Highway ride time: 1.283323
Highway ride time: 1.450107
Delivery Time: 13.0837
Pizza Prepare Time: 12.98369
Highway ride time: 1.766701
Pizza Prepare Time: 0.6666446
Highway ride time: 0.8001458
Pizza Prepare Time: 4.666837
Highway ride time: 1.683453
Delivery Time: 6.166788
Delivery Time: 6.166788
Delivery Time: 6.166788
Highway ride time: 1.566713
Highway ride time: 1.483389
Highway ride time: 0.9500297
Pizza Prepare Time: 13.61695
Pizza Prepare Time: 0.6000031
Highway ride time: 1.416744
Delivery Time: 4.066689
Delivery Time: 4.066689
Highway ride time: 0.3999762
Highway ride time: 0.9833004
Pizza Prepare Time: 5.500207
Pizza Prepare Time: 0.650137
Highway ride time: 1.333401
Delivery Time: 3.966867
Delivery Time: 3.966867
Pizza Prepare Time: 5.883564
Highway ride time: 2.716775
Pizza Prepare Time: 2.283422
Highway ride time: 1.650038
Delivery Time: 6.866825
Highway ride time: 2.966691
Delivery Time: 6.866825
Pizza Prepare Time: 8.60008
Highway ride time: 1.983455
Pizza Prepare Time: 1.250118
Highway ride time: 2.050014
Delivery Time: 3.566776
Delivery Time: 3.566776
Pizza Prepare Time: 4.86668
Highway ride time: 1.766725
Pizza Prepare Time: 0.816611
Pizza Prepare Time: 3.566774
Highway ride time: 0.7166992
Highway ride time: 1.383375
Delivery Time: 3.98344
Delivery Time: 3.98344
Delivery Time: 3.98344
Highway ride time: 1.70014
Pizza Prepare Time: 6.200112
Highway ride time: 1.700051
Delivery Time: 4.633362
Delivery Time: 4.633362
Highway ride time: 0.3834276
Pizza Prepare Time: 5.100152
Pizza Prepare Time: 0.983319
Highway ride time: 1.883456
Highway ride time: 0.3165894
Pizza Prepare Time: 0.8833984
Highway ride time: 2.399937
Highway ride time: 2.750164
Pizza Prepare Time: 0.7499999
Highway ride time: 2.80016
Highway ride time: 1.000122
Pizza Prepare Time: 0.9498827
Highway ride time: 1.566791
Highway ride time: 1.200092
Highway ride time: 1.533295
Highway ride time: 0.8666471
Delivery Time: 6.31673
Delivery Time: 6.31673
Highway ride time: 0.6332926
Highway ride time: 1.466649
Highway ride time: 2.250079
Pizza Prepare Time: 25.63353
Pizza Prepare Time: 0.8833011
Pizza Prepare Time: 3.983607
Pizza Prepare Time: 1.66671
Pizza Prepare Time: 2.533388
Highway ride time: 1.933332
Highway ride time: 2.183502
Delivery Time: 8.266802
Highway ride time: 2.133411
Highway ride time: 2.683319
Highway ride time: 1.566759
Delivery Time: 8.266802
Delivery Time: 8.266802
Highway ride time: 1.233386
Highway ride time: 1.416752
Highway ride time: 1.216637
Pizza Prepare Time: 21.5004
Pizza Prepare Time: 1.433439
Pizza Prepare Time: 3.116721
Pizza Prepare Time: 2.216621
Highway ride time: 1.349985
Highway ride time: 1.549963
Delivery Time: 9.566943
Delivery Time: 9.566943
Highway ride time: 0.3000115
Highway ride time: 0.01665
Highway ride time: 0.01665
Highway ride time: 1.583416
Highway ride time: 3.533395
Pizza Prepare Time: 4.916873
Pizza Prepare Time: 0.9833049
Highway ride time: 2.650038
Highway ride time: 2.050174
Average of all Delivery Times: 6.375474
