Time in tutorial: 89.34955
Highway ride time: 1.332747
Pizza Prepare Time: 3.431856
Pizza Prepare Time: 3.365202
Highway ride time: 0.4998334
Highway ride time: 5.097807
Highway ride time: 2.11576
Pizza Prepare Time: 12.71108
Delivery Time: 17.17588
Highway ride time: 5.797475
Highway ride time: 2.165699
Highway ride time: 2.049026
Pizza Prepare Time: 3.615103
Highway ride time: 2.782272
Pizza Prepare Time: 3.598423
Delivery Time: 14.21066
Delivery Time: 14.21066
Pizza Prepare Time: 4.048351
Highway ride time: 3.23199
Highway ride time: 3.581867
Delivery Time: 7.296962
Delivery Time: 7.296962
Highway ride time: 3.065228
Pizza Prepare Time: 8.579554
Pizza Prepare Time: 2.665704
Highway ride time: 6.080676
Pizza Prepare Time: 2.848854
Highway ride time: 4.197794
Highway ride time: 1.733018
Delivery Time: 3.865202
Delivery Time: 3.865202
Delivery Time: 3.865202
Highway ride time: 0.2832314
Highway ride time: 3.031948
Pizza Prepare Time: 2.799282
Pizza Prepare Time: 2.182317
Highway ride time: 0.266654
Highway ride time: 2.332152
Highway ride time: 0.9329776
Delivery Time: 13.24448
Pizza Prepare Time: 7.713293
Highway ride time: 3.015354
Pizza Prepare Time: 2.932035
Pizza Prepare Time: 3.198632
Pizza Prepare Time: 2.698898
Pizza Prepare Time: 2.582292
Highway ride time: 1.749306
Highway ride time: 2.782048
Highway ride time: 2.815314
Pizza Prepare Time: 3.815006
Highway ride time: 2.715173
Delivery Time: 16.70966
Highway ride time: 1.532883
Highway ride time: 2.515622
Highway ride time: 1.832547
Highway ride time: 2.332398
Delivery Time: 9.846068
Delivery Time: 9.846068
Delivery Time: 9.846068
Highway ride time: 0.216649
Highway ride time: 0.4330718
Highway ride time: 0.4831201
Highway ride time: 2.232439
Highway ride time: 3.431517
Pizza Prepare Time: 5.26473
Pizza Prepare Time: 4.214728
Pizza Prepare Time: 2.765454
Pizza Prepare Time: 2.765676
Pizza Prepare Time: 2.448891
Highway ride time: 1.53279
Average of all Delivery Times: 10.09839
Average of all Pizza Preparing Times: 4.102062
Average of all Highway Rides: 2.78628
Level 0 money was: 90
Level 1 money was: 10
