Time in tutorial: 170.1152
Pizza Prepare Time: 1.249982
Pizza Prepare Time: 0.7833449
Highway ride time: 3.383389
Highway ride time: 1.716684
Delivery Time: 6.216753
Highway ride time: 1.683348
Highway ride time: 1.933434
Highway ride time: 2.450039
Delivery Time: 6.216753
Highway ride time: 0.5667274
Pizza Prepare Time: 0.8833752
Pizza Prepare Time: 0.8833795
Highway ride time: 0.4667227
Highway ride time: 0.9833543
Highway ride time: 0.5333411
Highway ride time: 0.6333854
Delivery Time: 2.833435
Highway ride time: 2.583364
Highway ride time: 1.333342
Pizza Prepare Time: 0.9833721
Delivery Time: 2.833435
Highway ride time: 0.7333093
Pizza Prepare Time: 0.7666985
Highway ride time: 2.016717
Pizza Prepare Time: 0.8000311
Highway ride time: 1.500016
Delivery Time: 4.483376
Delivery Time: 4.483376
Pizza Prepare Time: 0.7833635
Highway ride time: 2.500045
Highway ride time: 1.650032
Delivery Time: 5.100128
Highway ride time: 1.800031
Pizza Prepare Time: 1.466704
Highway ride time: 2.066723
Pizza Prepare Time: 0.7166088
Highway ride time: 1.983373
Delivery Time: 3.333411
Delivery Time: 3.333411
Highway ride time: 2.566694
Pizza Prepare Time: 0.8666818
Pizza Prepare Time: 0.7667297
Pizza Prepare Time: 1.016683
Pizza Prepare Time: 1.700018
Pizza Prepare Time: 1.849996
Highway ride time: 1.616723
Highway ride time: 2.249995
Highway ride time: 2.250078
Highway ride time: 3.216701
Highway ride time: 1.000045
Highway ride time: 0.8000315
Highway ride time: 1.533328
Highway ride time: 1.333348
Highway ride time: 1.000018
Delivery Time: 7.166795
Pizza Prepare Time: 1.700009
Highway ride time: 3.816727
Highway ride time: 0.2666649
Pizza Prepare Time: 1.3834
Highway ride time: 1.516679
Highway ride time: 3.500079
Highway ride time: 1.533454
Highway ride time: 0.8667268
Delivery Time: 7.416807
Delivery Time: 7.416807
Delivery Time: 7.416807
Highway ride time: 1.016652
Pizza Prepare Time: 1.049989
Pizza Prepare Time: 2.133332
Highway ride time: 6.966814
Highway ride time: 1.366702
Highway ride time: 0.9000063
Delivery Time: 7.250116
Delivery Time: 7.250116
Average of all Delivery Times: 5.516768
Average of all Pizza Preparing Times: 1.14651
Average of all Highway Rides: 1.981943
Level 0 money was: 90
