Time in tutorial: 48.0268
Highway ride time: 1.324778
Pizza Prepare Time: 0.7617531
Pizza Prepare Time: 0.6292719
Highway ride time: 6.93856
Pizza Prepare Time: 0.7451814
Pizza Prepare Time: 0.6789707
Highway ride time: 1.937492
Delivery Time: 7.534687
Highway ride time: 1.622872
Highway ride time: 1.655974
Delivery Time: 7.534687
Pizza Prepare Time: 0.7120932
Highway ride time: 1.871258
Pizza Prepare Time: 0.894222
Highway ride time: 1.506941
Highway ride time: 1.622882
Pizza Prepare Time: 0.8776647
Pizza Prepare Time: 0.8445779
Highway ride time: 1.506946
Delivery Time: 5.282579
Delivery Time: 5.282579
Highway ride time: 0.5961453
Highway ride time: 1.689107
Pizza Prepare Time: 0.7617298
Highway ride time: 2.185915
Pizza Prepare Time: 0.7286378
Highway ride time: 3.328514
Delivery Time: 8.776679
Delivery Time: 8.776679
Delivery Time: 8.776679
Highway ride time: 1.440698
Pizza Prepare Time: 2.252124
Pizza Prepare Time: 0.8114339
Highway ride time: 2.036825
Delivery Time: 5.580661
Delivery Time: 5.580661
Pizza Prepare Time: 0.8114186
Pizza Prepare Time: 0.7120569
Highway ride time: 2.732368
Highway ride time: 0.5630302
Delivery Time: 2.252132
Pizza Prepare Time: 1.540064
Highway ride time: 7.021348
Pizza Prepare Time: 2.583321
Highway ride time: 1.589745
Delivery Time: 4.222744
Delivery Time: 4.222744
Delivery Time: 4.222744
Pizza Prepare Time: 1.705646
Pizza Prepare Time: 0.7120681
Highway ride time: 4.139948
Highway ride time: 1.275113
Delivery Time: 3.643152
Delivery Time: 3.643152
Highway ride time: 2.301816
Pizza Prepare Time: 0.7617387
Highway ride time: 1.523469
Pizza Prepare Time: 0.7451977
Highway ride time: 1.059848
Delivery Time: 3.46101
Delivery Time: 3.46101
Highway ride time: 4.139924
Pizza Prepare Time: 0.97701
Pizza Prepare Time: 0.7782897
Highway ride time: 1.059808
Delivery Time: 4.851985
Highway ride time: 2.765501
Delivery Time: 4.851985
Highway ride time: 0.2815338
Pizza Prepare Time: 6.706704
Pizza Prepare Time: 0.8942138
Pizza Prepare Time: 0.8776586
Pizza Prepare Time: 7.236606
Pizza Prepare Time: 1.374453
Highway ride time: 3.87497
Highway ride time: 2.152766
Highway ride time: 2.086535
Highway ride time: 3.311952
Highway ride time: 0.7948647
Delivery Time: 19.40803
Highway ride time: 0.9935869
Highway ride time: 1.904378
Pizza Prepare Time: 1.506953
Pizza Prepare Time: 2.10309
Highway ride time: 6.458298
Highway ride time: 1.540067
Highway ride time: 0.8279793
Delivery Time: 6.690145
Delivery Time: 6.690145
Highway ride time: 0.8114303
Pizza Prepare Time: 2.765483
Pizza Prepare Time: 1.440708
Highway ride time: 4.901686
Highway ride time: 1.622848
Highway ride time: 2.069647
Delivery Time: 5.829054
Highway ride time: 2.053414
Highway ride time: 1.887849
Highway ride time: 1.241974
Pizza Prepare Time: 2.434268
Highway ride time: 1.241985
Highway ride time: 0.7617462
Delivery Time: 8.892602
Highway ride time: 0.7617582
Highway ride time: 1.010134
Highway ride time: 1.672549
Highway ride time: 2.748928
Highway ride time: 0.8611104
Delivery Time: 8.892602
Delivery Time: 8.892602
Pizza Prepare Time: 2.434268
Highway ride time: 1.159178
Pizza Prepare Time: 1.010156
Highway ride time: 1.937505
Highway ride time: 1.606305
Highway ride time: 2.633
Average of all Delivery Times: 6.432836
