Time in tutorial: 0
Pizza Prepare Time: 1.320989
Pizza Prepare Time: 0.8378724
Highway ride time: 5.137844
Pizza Prepare Time: 0.9278111
Pizza Prepare Time: 0.8491306
Highway ride time: 17.32088
Highway ride time: 0.6381591
Highway ride time: 0.8418058
Delivery Time: 5.598917
Highway ride time: 1.578751
Delivery Time: 5.598917
Delivery Time: 5.598917
Highway ride time: 1.580902
Pizza Prepare Time: 2.175818
Pizza Prepare Time: 0.7108234
Highway ride time: 12.67816
Highway ride time: 1.139813
Delivery Time: 5.339239
Delivery Time: 5.339239
Highway ride time: 0.7194113
Total Money: $40
Average of all Delivery Times: 5.495046
Average of all Pizza Preparing Times: 1.137074
Average of all Highway Rides: 5.124696
