Time in tutorial: 40.06248
Pizza Prepare Time: 0
Highway ride time: 0.7579519
Pizza Prepare Time: 0.7315977
Pizza Prepare Time: 1.042196
Pizza Prepare Time: 1.198457
Highway ride time: 1.84062
Pizza Prepare Time: 1.168652
Delivery Time: 5.460571
Highway ride time: 1.282591
Highway ride time: 1.315982
Highway ride time: 1.134641
Pizza Prepare Time: 2.140377
Highway ride time: 2.540403
Pizza Prepare Time: 1.027578
Delivery Time: 6.342276
Delivery Time: 6.342276
Delivery Time: 6.342276
Highway ride time: 1.367226
Highway ride time: 1.799393
Highway ride time: 1.519481
Pizza Prepare Time: 0.8032207
Highway ride time: 1.494141
Pizza Prepare Time: 1.313603
Delivery Time: 3.939116
Delivery Time: 3.939116
Highway ride time: 0.7800007
Highway ride time: 1.937089
Highway ride time outlier: 0.1349292
Pizza Prepare Time: 0.7743713
Highway ride time: 1.876354
Pizza Prepare Time: 0.7440559
Delivery Time: 3.58072
Delivery Time: 3.58072
Pizza Prepare Time: 0.7281337
Highway ride time: 1.483061
Pizza Prepare Time: 1.079754
Highway ride time: 1.874383
Pizza Prepare Time: 0.6799399
Delivery Time: 3.754786
Highway ride time: 1.380631
Pizza Prepare Time: 1.197707
Highway ride time: 1.603917
Delivery Time: 4.31265
Highway ride time outlier: 0.4702158
Highway ride time: 1.561059
Pizza Prepare Time: 0.8164311
Highway ride time: 1.565695
Delivery Time: 3.232757
Delivery Time: 3.232757
Pizza Prepare Time: 1.065178
Delivery Time: 3.232757
Highway ride time: 1.441829
Highway ride time: 1.482168
Highway ride time: 1.061841
Pizza Prepare Time: 1.436138
Highway ride time: 1.11776
Pizza Prepare Time: 0.6662565
Delivery Time: 4.983182
Delivery Time: 4.983182
Highway ride time: 1.31114
Highway ride time: 1.435151
Highway ride time: 2.001364
Pizza Prepare Time: 1.41415
Highway ride time: 2.097327
Pizza Prepare Time: 0.9440449
Delivery Time: 3.661234
Delivery Time: 3.661234
Highway ride time: 1.335346
Pizza Prepare Time: 0.9853206
Highway ride time: 1.463551
Pizza Prepare Time: 1.191366
Delivery Time: 3.91555
Highway ride time: 1.53946
Pizza Prepare Time: 0.8192608
Highway ride time: 2.262736
Pizza Prepare Time: 1.065
Delivery Time: 3.754965
Pizza Prepare Time: 0.7121733
Delivery Time: 3.754965
Delivery Time: 3.754965
Scene Swap
Pizza Prepare Time: 1.138687
Pizza Prepare Time: 1.529951
Highway ride time outlier: 0.2758744
Highway ride time: 1.473699
Pizza Prepare Time: 1.654039
Highway ride time: 1.51683
Delivery Time: 10.3569
Highway ride time: 0.8365676
Highway ride time: 1.54461
Highway ride time: 1.418177
Pizza Prepare Time: 2.186955
Highway ride time: 1.773553
Pizza Prepare Time: 0.8259084
Highway ride time outlier: 0.1635961
Highway ride time outlier: 0.1806448
Delivery Time: 9.540314
Delivery Time: 9.540314
Pizza Prepare Time: 1.213577
Highway ride time: 1.477938
Highway ride time: 1.180295
Highway ride time: 1.122063
Highway ride time: 1.514663
Delivery Time: 6.754335
Pizza Prepare Time: 2.188494
Pizza Prepare Time: 1.086095
Highway ride time: 1.778641
Highway ride time: 1.13947
Highway ride time: 1.180272
Highway ride time: 0.8210198
Delivery Time: 6.262009
Delivery Time: 6.262009
Pizza Prepare Time: 1.41773
Highway ride time: 0.7796818
Highway ride time: 1.919522
Pizza Prepare Time: 1.996051
Highway ride time: 1.154421
Highway ride time: 0.9829507
Delivery Time: 6.500531
Highway ride time: 0.7813881
Highway ride time: 2.438007
Pizza Prepare Time: 2.167445
Highway ride time: 1.546592
Pizza Prepare Time: 2.039308
Highway ride time: 1.019924
Highway ride time: 1.236172
Delivery Time: 11.82164
Delivery Time: 11.82164
Highway ride time: 2.060845
Highway ride time: 1.482847
Highway ride time: 1.380411
Pizza Prepare Time: 1.924774
Highway ride time: 1.720428
Pizza Prepare Time: 1.282298
Delivery Time: 7.14354
Highway ride time: 1.779099
Highway ride time: 1.341617
Scene Swap
Average of all Delivery Times: 5.669848
Average of all Pizza Preparing Times: 1.209907
Average of all Highway Rides: 1.467766
Average of all Delivery Times Including Outliers: 5.669848
Average of all Pizza Preparing Times Including Outliers: 1.209907
Average of all Highway Rides: 1.373711
Level 0 money was: 200
Level 1 money was: 70
