Time in tutorial: 45.90995
Pizza Prepare Time: 0.7821292
Pizza Prepare Time: 1.114496
Highway ride time outlier: 8.019039
Pizza Prepare Time: 5.261959
Highway ride time outlier: 0.1794807
Highway ride time: 1.204937
Pizza Prepare Time: 1.422828
Delivery Time: 6.114254
Highway ride time: 1.380682
Highway ride time: 1.685242
Delivery Time: 6.114254
Pizza Prepare Time: 0.7663814
Highway ride time: 1.717257
Pizza Prepare Time: 0.906912
Highway ride time: 1.660819
Delivery Time: 3.121517
Highway ride time: 1.419107
Highway ride time: 1.406168
Pizza Prepare Time: 1.064834
Delivery Time: 3.198863
Delivery Time: 3.198863
Pizza Prepare Time: 0.777618
Highway ride time: 2.761928
Delivery Time: 3.198863
Highway ride time outlier: 0.2874087
Pizza Prepare Time: 1.231699
Highway ride time: 1.366561
Pizza Prepare Time: 0.9280559
Highway ride time: 1.039594
Delivery Time: 3.476007
Highway ride time outlier: 0.4125873
Highway ride time: 0.9416993
Highway ride time: 1.596622
Highway ride time: 1.51528
Delivery Time: 3.75162
Pizza Prepare Time: 0.6861838
Highway ride time outlier: 0.696917
Pizza Prepare Time: 0.6500428
Highway ride time: 3.482931
Delivery Time: 3.75162
Delivery Time: 3.75162
Highway ride time: 2.25525
Highway ride time: 1.315014
Delivery Time: 2.985976
Delivery Time: 2.985976
Highway ride time: 1.463755
Pizza Prepare Time: 0.6500428
Pizza Prepare Time: 1.563091
Pizza Prepare Time: 0.6706698
Highway ride time: 1.696643
Pizza Prepare Time: 1.467485
Delivery Time: 4.220292
Pizza Prepare Time: 0.8482406
Highway ride time: 0.9415948
Highway ride time: 2.696423
Delivery Time: 4.220292
Highway ride time outlier: 0.3341572
Highway ride time: 1.461411
Delivery Time: 4.134126
Delivery Time: 4.134126
Pizza Prepare Time: 0.5972272
Highway ride time outlier: 0.3147524
Pizza Prepare Time: 0.6778997
Highway ride time: 1.942931
Highway ride time: 1.041835
Delivery Time: 2.417361
Delivery Time: 2.417361
Pizza Prepare Time: 0.6302917
Scene Swap
Pizza Prepare Time: 1.24583
Pizza Prepare Time: 1.04818
Pizza Prepare Time: 1.700822
Highway ride time: 1.561224
Pizza Prepare Time: 1.344709
Highway ride time: 2.381621
Delivery Time: 9.298672
Highway ride time: 0.8638566
Pizza Prepare Time: 4.297434
Highway ride time: 2.180732
Pizza Prepare Time: 1.13672
Highway ride time: 1.403841
Highway ride time: 2.06029
Delivery Time: 8.380776
Delivery Time: 8.380776
Delivery Time: 8.380776
Highway ride time: 1.596106
Pizza Prepare Time: 1.248989
Highway ride time: 1.162826
Pizza Prepare Time: 1.362795
Highway ride time: 1.278722
Highway ride time: 1.445513
Delivery Time: 5.601821
Delivery Time: 5.601821
Highway ride time: 1.657465
Pizza Prepare Time: 1.435621
Highway ride time: 1.341845
Pizza Prepare Time: 1.202855
Highway ride time: 1.12284
Pizza Prepare Time: 1.358206
Highway ride time: 1.764552
Delivery Time: 6.123983
Delivery Time: 6.123983
Highway ride time: 1.500514
Pizza Prepare Time: 1.463954
Highway ride time: 2.495008
Pizza Prepare Time: 2.310824
Highway ride time: 1.69235
Highway ride time: 1.7162
Delivery Time: 6.235179
Delivery Time: 6.235179
Highway ride time: 1.452659
Pizza Prepare Time: 1.466079
Highway ride time: 1.176019
Pizza Prepare Time: 0.8324043
Highway ride time: 1.184384
Highway ride time: 1.61556
Delivery Time: 6.556924
Highway ride time: 1.555229
Pizza Prepare Time: 1.835836
Highway ride time: 2.824657
Highway ride time: 2.177029
Delivery Time: 6.556924
Highway ride time: 2.159557
Highway ride time: 2.821209
Pizza Prepare Time: 1.887813
Pizza Prepare Time: 1.104103
Highway ride time: 1.536408
Highway ride time: 1.495962
Delivery Time: 7.084625
Delivery Time: 7.084625
Highway ride time: 1.513121
Scene Swap
Average of all Delivery Times: 5.151221
Average of all Pizza Preparing Times: 1.341612
Average of all Highway Rides: 1.67417
Average of all Delivery Times Including Outliers: 5.151221
Average of all Pizza Preparing Times Including Outliers: 1.341612
Average of all Highway Rides: 1.649589
Level 0 money was: 170
Level 1 money was: 110
