Time in tutorial: 54.88761
Highway ride time: 0.4000282
Pizza Prepare Time: 1.366709
Pizza Prepare Time: 0.6666394
Pizza Prepare Time: 7.13343
Pizza Prepare Time: 1.000003
Highway ride time: 2.933368
Delivery Time: 8.166579
Highway ride time: 1.366846
Highway ride time: 1.333117
Highway ride time: 0.7830995
Delivery Time: 8.166579
Highway ride time: 1.700043
Pizza Prepare Time: 12.0835
Pizza Prepare Time: 0.6668312
Highway ride time: 2.350025
Delivery Time: 3.766677
Delivery Time: 3.766677
Highway ride time: 2.29992
Pizza Prepare Time: 0.7166736
Highway ride time: 0.7166284
Pizza Prepare Time: 0.6832913
Delivery Time: 3.666705
Delivery Time: 3.666705
Highway ride time: 0.5831699
Pizza Prepare Time: 3.383601
Pizza Prepare Time: 0.7502257
Highway ride time: 1.116449
Delivery Time: 3.566838
Delivery Time: 3.566838
Highway ride time: 0.5333127
Pizza Prepare Time: 0.9502611
Highway ride time: 1.416897
Pizza Prepare Time: 0.8166762
Highway ride time: 1.16686
Delivery Time: 3.716717
Highway ride time: 0.5166693
Delivery Time: 3.716717
Highway ride time: 1.100063
Pizza Prepare Time: 0.7331405
Highway ride time: 1.599764
Pizza Prepare Time: 0.7833241
Delivery Time: 4.250014
Highway ride time: 0.3167065
Delivery Time: 4.250014
Highway ride time: 1.299766
Pizza Prepare Time: 0.8833011
Highway ride time: 1.566826
Pizza Prepare Time: 1.083194
Delivery Time: 4.350014
Delivery Time: 4.350014
Highway ride time: 1.80022
Pizza Prepare Time: 0.8335003
Highway ride time: 1.183065
Pizza Prepare Time: 1.083321
Delivery Time: 3.666882
Delivery Time: 3.666882
Highway ride time: 0.6332535
Highway ride time: 1.233371
Pizza Prepare Time: 0.7333956
Highway ride time: 1.966852
Pizza Prepare Time: 1.133339
Delivery Time: 4.416458
Highway ride time: 0.5833349
Delivery Time: 4.416458
Highway ride time: 0.5331848
Pizza Prepare Time: 0.766657
Highway ride time: 0.5833268
Delivery Time: 2.550036
Pizza Prepare Time: 2.066653
Highway ride time: 0.4999602
Highway ride time: 1.199819
Delivery Time: 4.950072
Delivery Time: 4.950072
Highway ride time: 1.233325
Highway ride time: 1.7668
Pizza Prepare Time: 0.9998134
Pizza Prepare Time: 1.31684
Highway ride time: 1.133357
Highway ride time: 0.8499659
Delivery Time: 6.116734
Pizza Prepare Time: 4.000282
Pizza Prepare Time: 0.9500307
Delivery Time: 6.116734
Highway ride time: 0.7333076
Highway ride time: 1.216703
Pizza Prepare Time: 1.199993
Highway ride time: 1.200189
Pizza Prepare Time: 1.416405
Highway ride time: 0.8000311
Delivery Time: 7.349892
Delivery Time: 7.349892
Pizza Prepare Time: 1.099952
Highway ride time: 1.066898
Highway ride time: 1.199866
Pizza Prepare Time: 2.133066
Highway ride time: 1.61669
Highway ride time: 1.566674
Delivery Time: 8.650065
Delivery Time: 8.650065
Highway ride time: 0.2000043
Highway ride time: 0.2500109
Pizza Prepare Time: 1.349926
Highway ride time: 2.016541
Pizza Prepare Time: 1.083196
Highway ride time: 2.050026
Highway ride time: 0.5833573
Highway ride time: 1.233549
Highway ride time: 1.799834
Pizza Prepare Time: 1.283521
Delivery Time: 7.983268
Highway ride time: 0.2499686
Highway ride time: 0.1998
Highway ride time: 1.633334
Pizza Prepare Time: 1.416662
Highway ride time: 3.466677
Highway ride time: 2.1835
Delivery Time: 7.983268
Delivery Time: 7.983268
Highway ride time: 2.100001
Highway ride time: 1.483444
Highway ride time: 1.133347
Highway ride time: 1.616811
Highway ride time: 1.533463
Pizza Prepare Time: 1.750215
Highway ride time: 3.166648
Highway ride time: 2.050189
Pizza Prepare Time: 1.833559
Delivery Time: 14.18353
Highway ride time: 2.350011
Highway ride time: 1.500164
Pizza Prepare Time: 1.633356
Highway ride time: 2.950047
Highway ride time: 1.683347
Average of all Delivery Times: 5.611311
Average of all Pizza Preparing Times: 1.723905
Average of all Highway Rides: 1.609355
Level 0 money was: 210
