Time in tutorial: 59.78938
Pizza Prepare Time: 0.7371259
Pizza Prepare Time: 0.9916019
Pizza Prepare Time: 1.140265
Highway ride time: 1.21805
Pizza Prepare Time: 0.7460627
Delivery Time: 5.218733
Highway ride time: 1.536709
Delivery Time: 5.218733
Highway ride time: 1.49736
Highway ride time: 1.495493
Pizza Prepare Time: 1.221049
Pizza Prepare Time: 0.8982103
Highway ride time: 1.925466
Delivery Time: 8.479693
Delivery Time: 8.479693
Highway ride time: 2.756823
Pizza Prepare Time: 1.304564
Highway ride time: 1.820013
Pizza Prepare Time: 1.200006
Highway ride time: 2.803111
Delivery Time: 4.577526
Delivery Time: 4.577526
Pizza Prepare Time: 0.8890618
Pizza Prepare Time: 1.415532
Highway ride time: 1.242871
Highway ride time: 0.9336466
Delivery Time: 6.323019
Highway ride time: 1.655794
Delivery Time: 6.323019
Average of all Delivery Times: 6.149743
Average of all Pizza Preparing Times: 1.054348
Average of all Highway Rides: 1.716849
Level 0 money was: 60
