Time in tutorial: 57.031
Pizza Prepare Time: 0.750322
Pizza Prepare Time: 0.8325156
Highway ride time outlier: 0.2210254
Pizza Prepare Time: 0.8062009
Highway ride time: 2.398134
Pizza Prepare Time: 1.824255
Delivery Time: 6.319207
Highway ride time: 1.72204
Highway ride time: 1.723573
Pizza Prepare Time: 1.033459
Delivery Time: 6.319207
Pizza Prepare Time: 1.514445
Highway ride time: 1.101423
Highway ride time: 1.061543
Delivery Time: 4.761697
Delivery Time: 4.761697
Highway ride time: 1.329773
Highway ride time: 1.543293
Pizza Prepare Time: 0.9686944
Highway ride time: 1.833129
Pizza Prepare Time: 1.098326
Highway ride time: 1.386021
Delivery Time: 3.660527
Highway ride time: 1.507237
Highway ride time: 1.099999
Pizza Prepare Time: 2.472599
Delivery Time: 4.578733
Delivery Time: 4.578733
Highway ride time: 1.207714
Pizza Prepare Time: 1.213192
Highway ride time: 1.315279
Highway ride time: 1.418728
Highway ride time: 1.20731
Pizza Prepare Time: 1.979683
Pizza Prepare Time: 0.7023134
Delivery Time: 5.066129
Delivery Time: 5.066129
Delivery Time: 5.066129
Highway ride time: 1.490528
Highway ride time: 1.654261
Highway ride time: 1.386216
Pizza Prepare Time: 1.522227
Highway ride time: 1.957011
Pizza Prepare Time: 0.9719328
Delivery Time: 4.016199
Delivery Time: 4.016199
Highway ride time: 1.482022
Pizza Prepare Time: 1.302144
Pizza Prepare Time: 0.9047095
Highway ride time: 2.058161
Delivery Time: 4.040211
Delivery Time: 4.040211
Highway ride time: 1.102767
Pizza Prepare Time: 1.007077
Pizza Prepare Time: 0.944712
Highway ride time: 1.619211
Delivery Time: 3.2586
Delivery Time: 3.2586
Highway ride time: 1.12319
Pizza Prepare Time: 0.7378613
Highway ride time: 1.433967
Pizza Prepare Time: 0.862075
Delivery Time: 3.900373
Delivery Time: 3.900373
Highway ride time outlier: 0.6052476
Highway ride time: 1.623672
Pizza Prepare Time: 1.079515
Highway ride time: 1.692377
Pizza Prepare Time: 0.8267735
Delivery Time: 4.161286
Highway ride time outlier: 0.3464724
Highway ride time: 1.83497
Highway ride time: 1.845233
Delivery Time: 3.997429
Scene Swap
Pizza Prepare Time: 1.20714
Pizza Prepare Time: 1.635332
Pizza Prepare Time: 1.725179
Highway ride time: 1.886907
Pizza Prepare Time: 1.402768
Highway ride time: 1.602183
Highway ride time: 1.381908
Highway ride time outlier: 0.2653218
Delivery Time: 17.29632
Highway ride time: 1.716096
Delivery Time: 17.29632
Pizza Prepare Time: 2.305705
Highway ride time: 1.962681
Highway ride time: 1.28044
Pizza Prepare Time: 1.231368
Highway ride time: 1.301266
Highway ride time: 1.523266
Highway ride time outlier: 0.0237212
Highway ride time outlier: 0.0237212
Highway ride time: 0.7364131
Delivery Time: 15.27635
Highway ride time: 0.8025432
Highway ride time: 1.815894
Highway ride time: 1.220406
Highway ride time: 1.493072
Highway ride time: 0.8955165
