Time in tutorial: 37.91673
Highway ride time outlier: 0.406749
Pizza Prepare Time: 1.360901
Pizza Prepare Time: 0.9150671
Highway ride time: 0.8664519
Pizza Prepare Time: 1.331051
Highway ride time: 1.660642
Pizza Prepare Time: 0.7122616
Delivery Time: 5.301502
Highway ride time: 1.246417
Highway ride time: 1.376179
Delivery Time: 5.301502
Highway ride time outlier: 0.640784
Highway ride time outlier: 0.4415758
Delivery Time: 2.240243
Delivery Time: 2.240243
Pizza Prepare Time: 0.7520292
Highway ride time: 1.134468
Pizza Prepare Time: 0.691537
Highway ride time: 2.283273
Highway ride time outlier: 0.5117825
Highway ride time outlier: 0.2592277
Pizza Prepare Time: 7.905421
Highway ride time: 1.561262
Pizza Prepare Time: 0.9489095
Highway ride time: 1.360108
Delivery Time: 3.885184
Highway ride time outlier: 0.2980358
Highway ride time outlier: 0.2747328
Delivery Time: 3.885184
Pizza Prepare Time: 0.920985
Pizza Prepare Time: 0.721287
Highway ride time: 1.838743
Highway ride time: 1.578411
Delivery Time: 3.822727
Highway ride time: 1.419463
Pizza Prepare Time: 0.78944
Pizza Prepare Time: 1.183522
Highway ride time: 2.600178
Delivery Time: 4.042363
Delivery Time: 4.042363
Highway ride time: 1.256309
Pizza Prepare Time: 0.9710689
Highway ride time: 1.738152
Pizza Prepare Time: 0.7343693
Delivery Time: 4.543903
Delivery Time: 4.543903
Delivery Time: 4.543903
Highway ride time outlier: 0.6585708
Highway ride time: 1.263538
Highway ride time outlier: 0.2946854
Pizza Prepare Time: 1.014447
Pizza Prepare Time: 0.7040865
Highway ride time: 1.959723
Delivery Time: 4.418576
Delivery Time: 4.418576
Highway ride time: 1.774664
Pizza Prepare Time: 0.8365666
Pizza Prepare Time: 0.9640868
Highway ride time: 2.43826
Delivery Time: 3.720005
Highway ride time: 0.8620471
Delivery Time: 3.720005
Highway ride time: 1.137985
Pizza Prepare Time: 0.7819015
Highway ride time: 1.299441
Pizza Prepare Time: 0.8957579
Delivery Time: 2.819975
Highway ride time: 2.877485
Delivery Time: 2.819975
Highway ride time: 1.582908
Highway ride time: 1.526435
Delivery Time: 4.141337
Delivery Time: 4.141337
Scene Swap
Pizza Prepare Time: 1.463637
Pizza Prepare Time: 1.061509
Pizza Prepare Time: 0.9778063
Highway ride time: 1.478763
Pizza Prepare Time: 1.038883
Highway ride time: 0.9561195
Delivery Time: 7.835147
Delivery Time: 7.835147
Highway ride time: 0.8978484
Pizza Prepare Time: 1.604978
Pizza Prepare Time: 1.765277
Highway ride time: 3.247523
Highway ride time: 1.383497
Highway ride time: 0.8232386
Delivery Time: 6.558292
Pizza Prepare Time: 1.077547
Highway ride time: 0.7001228
Highway ride time: 1.424031
Pizza Prepare Time: 1.480135
Highway ride time: 1.19811
Highway ride time: 1.470038
Delivery Time: 6.068722
Delivery Time: 6.068722
Delivery Time: 6.068722
Highway ride time: 1.435931
Pizza Prepare Time: 3.239257
Pizza Prepare Time: 1.318757
Highway ride time: 1.79565
Highway ride time: 1.303626
Highway ride time: 1.565986
Delivery Time: 7.723679
Highway ride time: 1.48351
Highway ride time: 2.680655
Highway ride time: 0.8977988
Pizza Prepare Time: 1.691857
Delivery Time: 7.723679
Pizza Prepare Time: 1.218809
Highway ride time: 0.9202577
Highway ride time: 1.481833
Highway ride time: 1.714972
Pizza Prepare Time: 1.949645
Highway ride time: 1.013164
Delivery Time: 8.678228
Highway ride time: 0.8414643
Highway ride time: 1.619197
Pizza Prepare Time: 1.671474
Pizza Prepare Time: 0.9934098
Highway ride time: 1.418232
Highway ride time: 1.684032
Pizza Prepare Time: 1.146445
Delivery Time: 9.457598
Delivery Time: 9.457598
Highway ride time: 0.761759
Highway ride time: 1.318595
Highway ride time: 2.119498
Highway ride time: 2.56554
Scene Swap
Average of all Delivery Times: 5.228011
Average of all Pizza Preparing Times: 1.356503
Average of all Highway Rides: 1.52535
Average of all Delivery Times Including Outliers: 5.228011
