Time in tutorial: 57.98845
Highway ride time outlier: 0.6641598
Pizza Prepare Time: 1.224493
Pizza Prepare Time: 0.5901812
Pizza Prepare Time: 0.7459463
Highway ride time: 2.078205
Pizza Prepare Time: 1.034263
Delivery Time: 5.740731
Highway ride time: 1.23933
Pizza Prepare Time: 0.6569965
Highway ride time: 1.48095
Delivery Time: 5.740731
Highway ride time outlier: 0.3652816
Pizza Prepare Time: 1.05348
Highway ride time: 1.661086
Pizza Prepare Time: 1.124956
Delivery Time: 3.498313
Delivery Time: 3.498313
Highway ride time: 1.536682
Pizza Prepare Time: 0.9035446
Highway ride time: 2.002012
Pizza Prepare Time: 0.9454306
Delivery Time: 3.395683
Highway ride time: 3.725068
Highway ride time outlier: 0.1375802
Delivery Time: 3.395683
Highway ride time outlier: 0.5446778
Pizza Prepare Time: 0.7208858
Highway ride time: 1.578665
Pizza Prepare Time: 0.948081
Highway ride time outlier: 0.5873122
Delivery Time: 2.480342
Delivery Time: 2.480342
Highway ride time outlier: 0.6235554
Pizza Prepare Time: 0.8402195
Highway ride time: 1.732449
Delivery Time: 4.300032
Pizza Prepare Time: 0.7976745
Highway ride time: 2.59261
Highway ride time outlier: 0.6042821
Highway ride time: 1.495741
Highway ride time: 2.179319
Delivery Time: 4.380301
Delivery Time: 4.380301
Highway ride time outlier: 0.4612738
Pizza Prepare Time: 0.697182
Pizza Prepare Time: 0.8284837
Highway ride time: 1.842514
Highway ride time: 1.679946
Delivery Time: 4.178122
Delivery Time: 4.178122
Pizza Prepare Time: 1.12862
Pizza Prepare Time: 0.7240855
Highway ride time: 1.479957
Highway ride time: 1.616444
Pizza Prepare Time: 0.8026373
Delivery Time: 4.256454
Pizza Prepare Time: 1.343189
Highway ride time: 0.8017268
Delivery Time: 4.256454
Highway ride time outlier: 0.4612076
Pizza Prepare Time: 1.290383
Highway ride time: 1.820042
Pizza Prepare Time: 1.180778
Highway ride time: 1.520556
Delivery Time: 4.042262
Highway ride time outlier: 0.2427764
Highway ride time: 1.30206
Highway ride time outlier: 0.0769325
Highway ride time: 1.441693
Scene Swap
Pizza Prepare Time: 1.182875
Pizza Prepare Time: 1.133006
Pizza Prepare Time: 5.172523
Pizza Prepare Time: 1.314034
Highway ride time: 1.461274
Highway ride time: 0.886602
Delivery Time: 6.678989
Highway ride time: 0.8015029
Highway ride time: 2.573842
Highway ride time outlier: 0.04215939
Highway ride time: 1.016518
Delivery Time: 6.678989
Highway ride time: 0.9527343
Highway ride time: 1.895372
Pizza Prepare Time: 2.330156
Pizza Prepare Time: 1.354
Highway ride time: 1.165321
Highway ride time: 1.581346
Delivery Time: 7.496908
Delivery Time: 7.496908
Highway ride time: 1.360638
Highway ride time: 1.579398
Highway ride time: 1.579159
Highway ride time: 1.216826
Pizza Prepare Time: 1.119202
Highway ride time: 1.442299
Pizza Prepare Time: 1.527121
Highway ride time: 2.140623
Delivery Time: 8.522982
Highway ride time outlier: 0.2602936
Highway ride time outlier: 0.2002211
Delivery Time: 8.522982
Highway ride time outlier: 0.1172364
Highway ride time outlier: 0.2014254
Highway ride time: 1.543042
Pizza Prepare Time: 1.716485
Highway ride time: 2.49439
Pizza Prepare Time: 1.174599
Pizza Prepare Time: 1.247333
Highway ride time: 1.159208
Highway ride time: 1.599048
Delivery Time: 9.157355
Delivery Time: 9.157355
Highway ride time outlier: 0.200777
Highway ride time outlier: 0.1813953
Highway ride time: 1.543908
Highway ride time: 2.901433
Highway ride time: 3.200067
Highway ride time: 1.501348
Highway ride time: 1.540367
Highway ride time: 2.180093
Delivery Time: 5.865481
Delivery Time: 5.865481
Pizza Prepare Time: 2.166366
Highway ride time: 2.180554
Highway ride time: 1.571848
Pizza Prepare Time: 1.372757
Pizza Prepare Time: 1.118551
Highway ride time: 1.537114
Pizza Prepare Time: 1.11422
Highway ride time: 1.739741
Pizza Prepare Time: 1.323499
Highway ride time: 1.550035
Highway ride time: 4.094721
Scene Swap
Average of all Delivery Times: 5.370985
Average of all Pizza Preparing Times: 1.241844
Average of all Highway Rides: 1.746104
