Time in tutorial: 39.64684
Highway ride time: 0.8387577
Pizza Prepare Time: 1.690497
Pizza Prepare Time: 0.7757781
Pizza Prepare Time: 1.753859
Pizza Prepare Time: 1.014009
Highway ride time: 1.579836
Delivery Time: 5.661271
Highway ride time: 1.659722
Delivery Time: 5.661271
Highway ride time: 0.9194812
Highway ride time: 1.977872
Highway ride time: 1.400681
Pizza Prepare Time: 1.73506
Pizza Prepare Time: 1.209192
Highway ride time: 1.538787
Delivery Time: 4.681345
Highway ride time: 1.378476
Pizza Prepare Time: 0.9111614
Highway ride time: 0.3197436
Pizza Prepare Time: 0.9054757
Delivery Time: 5.279005
Delivery Time: 5.279005
Delivery Time: 5.279005
Highway ride time: 1.258063
Highway ride time: 1.239532
Highway ride time: 1.100655
Pizza Prepare Time: 1.534571
Highway ride time: 1.222207
Pizza Prepare Time: 1.194256
Delivery Time: 3.840577
Delivery Time: 3.840577
Highway ride time: 0.4200701
Highway ride time: 2.618991
Highway ride time: 0.4203255
Pizza Prepare Time: 1.271839
Highway ride time: 1.218938
Delivery Time: 5.302018
Pizza Prepare Time: 1.106184
Highway ride time: 0.8205247
Delivery Time: 5.302018
Highway ride time: 1.980148
Pizza Prepare Time: 0.8146811
Pizza Prepare Time: 0.8402655
Highway ride time: 2.36382
Delivery Time: 3.959781
Highway ride time: 1.518276
Pizza Prepare Time: 0.8661913
Pizza Prepare Time: 0.8399902
Highway ride time: 2.098541
Delivery Time: 4.86123
Delivery Time: 4.86123
Delivery Time: 4.86123
Highway ride time: 0.5018425
Highway ride time: 1.422319
Highway ride time: 1.578933
Pizza Prepare Time: 2.322732
Delivery Time: 4.619798
Delivery Time: 4.619798
Pizza Prepare Time: 0.9350514
Highway ride time: 0.8342832
Highway ride time: 1.018442
Pizza Prepare Time: 1.023144
Highway ride time: 1.458771
Pizza Prepare Time: 1.623829
Delivery Time: 4.198764
Delivery Time: 4.198764
Highway ride time: 3.541641
Highway ride time: 0.2803997
Highway ride time: 0.9574733
Delivery Time: 3.058593
Delivery Time: 3.058593
Pizza Prepare Time: 1.447178
Pizza Prepare Time: 1.074361
Highway ride time: 1.280909
Highway ride time: 0.9979529
Pizza Prepare Time: 1.027206
Pizza Prepare Time: 1.21624
Pizza Prepare Time: 1.489206
Pizza Prepare Time: 0.9527165
Highway ride time: 1.419668
Delivery Time: 6.599247
Highway ride time: 1.659771
Highway ride time: 1.499628
Pizza Prepare Time: 2.189684
Highway ride time: 1.06051
Pizza Prepare Time: 1.106224
Highway ride time: 1.642325
Delivery Time: 3.317209
Delivery Time: 3.317209
Highway ride time: 0.8177279
Pizza Prepare Time: 1.697678
Highway ride time: 1.338074
Pizza Prepare Time: 1.015828
Delivery Time: 3.398307
Highway ride time: 1.258718
Pizza Prepare Time: 1.095549
Highway ride time: 1.418115
Pizza Prepare Time: 1.374651
Delivery Time: 4.02258
Delivery Time: 4.02258
Highway ride time: 0.3024356
Delivery Time: 4.02258
Highway ride time: 1.67491
Pizza Prepare Time: 2.544857
Highway ride time: 2.378763
Pizza Prepare Time: 1.376792
Highway ride time: 1.660495
Highway ride time: 0.9204672
Delivery Time: 6.120358
Delivery Time: 6.120358
Highway ride time: 1.739432
Highway ride time: 1.320704
Pizza Prepare Time: 5.42354
Pizza Prepare Time: 1.15419
Highway ride time: 1.517786
Highway ride time: 1.823053
Delivery Time: 3.060563
Highway ride time: 1.858245
Pizza Prepare Time: 1.48735
Highway ride time: 1.399391
Delivery Time: 4.241113
Highway ride time: 1.22069
Delivery Time: 4.241113
Delivery Time: 4.241113
Highway ride time: 0.3018161
Pizza Prepare Time: 1.314873
Highway ride time: 1.679231
Highway ride time: 1.819997
Pizza Prepare Time: 4.671903
Delivery Time: 5.297664
Delivery Time: 5.297664
Pizza Prepare Time: 1.063793
Highway ride time: 1.420538
Highway ride time: 1.522727
Delivery Time: 4.499859
Highway ride time: 1.222133
Pizza Prepare Time: 1.687162
Pizza Prepare Time: 2.528497
Highway ride time: 2.69726
Highway ride time: 1.118624
Average of all Delivery Times: 4.562317
Average of all Pizza Preparing Times: 1.507315
Average of all Highway Rides: 1.507873
Level 0 money was: 200
