Time in tutorial: 0
Pizza Prepare Time: 0.9449874
Pizza Prepare Time: 0.6477762
Highway ride time: 1.680597
Pizza Prepare Time: 2.103251
Highway ride time: 0.3618697
Pizza Prepare Time: 0.6969182
Highway ride time: 1.741684
Delivery Time: 6.099978
Highway ride time: 1.979057
Delivery Time: 6.099978
Highway ride time: 1.719002
Highway ride time: 2.35631
Pizza Prepare Time: 1.41459
Pizza Prepare Time: 0.7319219
Highway ride time: 1.497815
Delivery Time: 3.938334
Delivery Time: 3.938334
Highway ride time: 0.5026
Highway ride time: 1.402711
Pizza Prepare Time: 0.9204264
Pizza Prepare Time: 1.248535
Highway ride time: 2.103545
Highway ride time: 0.5210399
Delivery Time: 2.239299
Delivery Time: 2.239299
Highway ride time: 2.382348
Highway ride time: 1.960787
Delivery Time: 3.040996
Delivery Time: 3.040996
Pizza Prepare Time: 1.048461
Pizza Prepare Time: 0.9286736
Highway ride time: 1.979491
Highway ride time: 0.7387233
Highway ride time: 0.3377968
Highway ride time: 0.7239023
Delivery Time: 5.200634
Delivery Time: 5.200634
Highway ride time: 1.33856
Pizza Prepare Time: 1.375904
Highway ride time: 1.739254
Pizza Prepare Time: 1.311493
Highway ride time: 0.2800125
Highway ride time: 5.598631
Highway ride time: 0.7392933
Delivery Time: 5.518194
Highway ride time: 1.378726
Pizza Prepare Time: 1.226013
Delivery Time: 5.518194
Highway ride time: 1.699269
Pizza Prepare Time: 1.214385
Highway ride time: 4.018681
Highway ride time: 1.940163
Highway ride time: 0.5402001
Delivery Time: 2.079222
Delivery Time: 2.079222
Pizza Prepare Time: 1.337693
Highway ride time: 1.360495
Pizza Prepare Time: 0.7278324
Highway ride time: 1.08123
Highway ride time: 0.6410057
Highway ride time: 1.000717
Pizza Prepare Time: 1.512188
Highway ride time: 1.597816
Pizza Prepare Time: 0.8668592
Delivery Time: 4.341883
Delivery Time: 4.341883
Highway ride time: 0.6990609
Highway ride time: 0.4391107
Pizza Prepare Time: 0.760048
Highway ride time: 2.160251
Delivery Time: 3.959568
Delivery Time: 3.959568
Pizza Prepare Time: 2.518238
Highway ride time: 1.899389
Total Money: $180
Average of all Delivery Times: 4.046457
Average of all Pizza Preparing Times: 1.17681
